date,merchant,amount,category,payment_mode,type
2025-01-02,Salary Deposit,85000,Income,net_banking,income
2025-01-03,Reliance Fresh,2450,Groceries,upi,expense
2025-01-05,Uber Ride,180,Transportation,upi,expense
2025-01-07,Amazon Prime,199,Subscriptions,card,expense
2025-01-08,Starbucks Coffee,350,Dining & Restaurants,upi,expense
2025-01-10,Electricity Bill,1850,Utilities,net_banking,expense
2025-01-12,Big Bazaar,3200,Groceries,card,expense
2025-01-14,Netflix,649,Subscriptions,card,expense
2025-01-15,HDFC Rent,18000,Rent,net_banking,expense
2025-01-17,Apollo Pharmacy,780,Healthcare,cash,expense
2025-01-19,Domino's Pizza,590,Dining & Restaurants,upi,expense
2025-01-20,Shell Petrol,2500,Transportation,card,expense
2025-01-22,Flipkart Order,3400,Shopping,card,expense
2025-01-25,Jio Recharge,399,Utilities,upi,expense
2025-01-28,Savings Transfer,10000,Transfer,net_banking,transfer
2025-01-30,Gym Membership,1500,Personal Care,upi,expense
